,precision,recall,f1-score,support
BENIGN,0.06741124850418827,0.8366336633663366,0.12476928755998523,202.0
Bot,0.0,0.0,0.0,204.0
Brute Force,0.0,0.0,0.0,218.0
DDoS,0.16666666666666666,0.005025125628140704,0.00975609756097561,199.0
DoS,0.4166666666666667,0.050505050505050504,0.09009009009009009,198.0
Exploits,0.0,0.0,0.0,214.0
Fuzzers,0.0,0.0,0.0,191.0
Generic,0.0,0.0,0.0,192.0
Infiltration,0.0,0.0,0.0,192.0
Port Scan,0.0,0.0,0.0,198.0
Reconnaissance,0.0,0.0,0.0,192.0
Shellcode,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,198.0
accuracy,0.06923076923076923,0.06923076923076923,0.06923076923076923,0.06923076923076923
macro avg,0.0500572755259632,0.06862798765380983,0.01727811347777315,2600.0
weighted avg,0.049724514947889493,0.06923076923076923,0.01730103743830346,2600.0
