,precision,recall,f1-score,support
BENIGN,0.11388140161725067,0.8164251207729468,0.19988172678888233,207.0
Bot,0.0,0.0,0.0,213.0
Brute Force,0.4423076923076923,0.12637362637362637,0.19658119658119658,182.0
DDoS,0.0,0.0,0.0,195.0
DoS,0.0,0.0,0.0,183.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,178.0
Fuzzers,0.0,0.0,0.0,214.0
Generic,0.25824175824175827,0.6211453744493393,0.3648124191461837,227.0
Infiltration,0.0,0.0,0.0,193.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,195.0
Reconnaissance,0.0,0.0,0.0,195.0
Shellcode,0.0,0.0,0.0,205.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,213.0
accuracy,0.1280769230769231,0.1280769230769231,0.1280769230769231,0.1280769230769231
macro avg,0.04072154260833506,0.07819720607979562,0.03806376712581313,2600.0
weighted avg,0.06257474202140385,0.1280769230769231,0.06152527475740774,2600.0
