,precision,recall,f1-score,support
BENIGN,0.07045009784735812,0.3956043956043956,0.11960132890365449,182.0
Bot,0.0,0.0,0.0,195.0
Brute Force,0.08023483365949119,0.21243523316062177,0.11647727272727272,193.0
DDoS,0.0,0.0,0.0,210.0
DoS,0.008849557522123894,0.00510204081632653,0.006472491909385114,196.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,188.0
Fuzzers,0.0,0.0,0.0,215.0
Generic,0.0,0.0,0.0,211.0
Infiltration,0.0236318407960199,0.08796296296296297,0.03725490196078431,216.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,207.0
Reconnaissance,0.0,0.0,0.0,189.0
Shellcode,0.0,0.0,0.0,194.0
Web Attack,0.0,0.0,0.0,204.0
accuracy,0.051153846153846154,0.051153846153846154,0.051153846153846154,0.051153846153846154
macro avg,0.011447895614062068,0.04381903953401918,0.017487874718818536,2600.0
weighted avg,0.013517781381068293,0.051153846153846154,0.020601239513306786,2600.0
