,precision,recall,f1-score,support
BENIGN,0.2795527156549521,0.9114583333333334,0.4278728606356968,192.0
Bot,0.0,0.0,0.0,202.0
Brute Force,0.0,0.0,0.0,218.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.1894374282433984,0.7932692307692307,0.30583873957367935,208.0
Exploits,0.04962779156327544,0.2,0.07952286282306163,200.0
Fuzzers,0.3404255319148936,0.15763546798029557,0.21548821548821548,203.0
Generic,0.03535353535353535,0.03608247422680412,0.03571428571428571,194.0
Infiltration,0.0,0.0,0.0,202.0
Port Scan,0.0,0.0,0.0,186.0
Reconnaissance,0.0,0.0,0.0,210.0
Shellcode,0.0,0.0,0.0,193.0
Web Attack,0.0,0.0,0.0,187.0
accuracy,0.16115384615384615,0.16115384615384615,0.16115384615384615,0.16115384615384615
macro avg,0.06879976944077346,0.16141888510074337,0.08187976647961069,2600.0
weighted avg,0.06883370524243924,0.16115384615384615,0.08167049954256561,2600.0
