,precision,recall,f1-score,support
BENIGN,0.07547169811320754,0.022222222222222223,0.034334763948497854,180.0
Bot,0.0,0.0,0.0,201.0
Brute Force,0.18253968253968253,0.4423076923076923,0.25842696629213485,208.0
DDoS,0.2560386473429952,0.2849462365591398,0.2697201017811705,186.0
DoS,0.0,0.0,0.0,191.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.07142857142857142,0.016216216216216217,0.02643171806167401,185.0
Fuzzers,0.04081632653061224,0.009433962264150943,0.01532567049808429,212.0
Generic,0.0,0.0,0.0,196.0
Infiltration,0.036057692307692304,0.1485148514851485,0.058027079303675046,202.0
Port Scan,0.0,0.0,0.0,211.0
Reconnaissance,0.0,0.0,0.0,192.0
Shellcode,0.0,0.0,0.0,211.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,225.0
accuracy,0.07076923076923076,0.07076923076923076,0.07076923076923076,0.07076923076923076
macro avg,0.0315406008696553,0.043982913383550946,0.03153649047072555,2600.0
weighted avg,0.04935667262282992,0.07076923076923076,0.049985148245052805,2600.0
