,precision,recall,f1-score,support
BENIGN,0.2087912087912088,0.09644670050761421,0.13194444444444445,197.0
Bot,0.0,0.0,0.0,198.0
Brute Force,0.13768115942028986,0.10326086956521739,0.11801242236024845,184.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.0,0.0,0.0,208.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,191.0
Fuzzers,0.0,0.0,0.0,223.0
Generic,0.0,0.0,0.0,185.0
Infiltration,0.0,0.0,0.0,192.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,230.0
Reconnaissance,0.0,0.0,0.0,181.0
Shellcode,0.0,0.0,0.0,212.0
Syn,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,194.0
accuracy,0.014615384615384615,0.014615384615384615,0.014615384615384615,0.014615384615384615
macro avg,0.01443634867547911,0.00832114875303465,0.010414869450195537,2600.0
weighted avg,0.025563539025077485,0.014615384615384615,0.018348977411477414,2600.0
