,precision,recall,f1-score,support
BENIGN,0.3541666666666667,0.08056872037914692,0.13127413127413126,211.0
Bot,0.0,0.0,0.0,190.0
Brute Force,0.0975609756097561,0.017467248908296942,0.02962962962962963,229.0
DDoS,0.0,0.0,0.0,207.0
DoS,0.0,0.0,0.0,197.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.07692307692307693,0.0106951871657754,0.018779342723004695,187.0
Fuzzers,0.030303030303030304,0.024390243902439025,0.02702702702702703,205.0
Generic,0.8571428571428571,0.029850746268656716,0.057692307692307696,201.0
Infiltration,0.3333333333333333,0.01092896174863388,0.021164021164021163,183.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,186.0
Reconnaissance,0.3333333333333333,0.06565656565656566,0.10970464135021098,198.0
Shellcode,0.14712153518123666,0.3333333333333333,0.20414201183431951,207.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,199.0
accuracy,0.045384615384615384,0.045384615384615384,0.045384615384615384,0.045384615384615384
macro avg,0.08919539233973162,0.022915640294513918,0.02397652450778608,2600.0
weighted avg,0.17207970721010296,0.045384615384615384,0.0473016883346096,2600.0
