,precision,recall,f1-score,support
BENIGN,0.056338028169014086,0.10582010582010581,0.07352941176470588,189.0
Bot,0.0,0.0,0.0,212.0
Brute Force,0.10891089108910891,0.21674876847290642,0.14497528830313014,203.0
DDoS,0.0,0.0,0.0,206.0
DoS,0.0,0.0,0.0,202.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,200.0
Fuzzers,0.0,0.0,0.0,205.0
Generic,0.0,0.0,0.0,209.0
Infiltration,0.12700106723585913,0.6397849462365591,0.21193232413178986,186.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,190.0
Reconnaissance,0.0,0.0,0.0,190.0
Shellcode,0.0,0.0,0.0,207.0
Syn,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,201.0
accuracy,0.07038461538461538,0.07038461538461538,0.07038461538461538,0.07038461538461538
macro avg,0.011689999459759286,0.038494152821182855,0.017217480967985036,2600.0
weighted avg,0.021684229508039454,0.07038461538461538,0.031825559475991444,2600.0
