,precision,recall,f1-score,support
BENIGN,0.8297872340425532,0.9701492537313433,0.8944954128440367,201.0
Bot,0.6425855513307985,0.9941176470588236,0.7806004618937644,170.0
Brute Force,0.3409090909090909,0.4794520547945205,0.3984819734345351,219.0
DDoS,0.24166666666666667,0.26976744186046514,0.2549450549450549,215.0
DoS,0.0,0.0,0.0,215.0
Exploits,0.38333333333333336,0.9951923076923077,0.553475935828877,208.0
Fuzzers,0.029411764705882353,0.010638297872340425,0.015625,188.0
Generic,0.0,0.0,0.0,187.0
Infiltration,0.12011173184357542,0.2205128205128205,0.15551537070524413,195.0
Port Scan,0.0,0.0,0.0,213.0
Reconnaissance,0.12727272727272726,0.07,0.09032258064516129,200.0
Shellcode,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,187.0
accuracy,0.305,0.305,0.305,0.305
macro avg,0.20885216154650982,0.3084484479632786,0.24180475309974414,2600.0
weighted avg,0.20645510779742118,0.305,0.2388565013722702,2600.0
