,precision,recall,f1-score,support
BENIGN,0.18181818181818182,0.01015228426395939,0.019230769230769232,197.0
Bot,0.0,0.0,0.0,200.0
Brute Force,0.0,0.0,0.0,203.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.0,0.0,0.0,189.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.0,0.0,0.0,201.0
Generic,0.0,0.0,0.0,203.0
Infiltration,0.0,0.0,0.0,184.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,209.0
Reconnaissance,0.0,0.0,0.0,208.0
Shellcode,0.0,0.0,0.0,190.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,217.0
accuracy,0.0007692307692307692,0.0007692307692307692,0.0007692307692307692,0.0007692307692307692
macro avg,0.006734006734006735,0.0003760105282947922,0.0007122507122507123,2600.0
weighted avg,0.013776223776223777,0.0007692307692307691,0.0014571005917159764,2600.0
