,precision,recall,f1-score,support
BENIGN,0.23386243386243386,0.9910313901345291,0.3784246575342466,223.0
Bot,0.0,0.0,0.0,197.0
Brute Force,0.0,0.0,0.0,195.0
DDoS,0.0,0.0,0.0,170.0
DoS,0.04918032786885246,0.16176470588235295,0.07542857142857143,204.0
Exploits,0.015267175572519083,0.05741626794258373,0.024120603015075376,209.0
Fuzzers,0.0,0.0,0.0,193.0
Generic,0.41379310344827586,0.06282722513089005,0.10909090909090909,191.0
Infiltration,0.0,0.0,0.0,209.0
Port Scan,0.0,0.0,0.0,189.0
Reconnaissance,0.0,0.0,0.0,205.0
Shellcode,0.25,0.004901960784313725,0.009615384615384616,204.0
Web Attack,0.0,0.0,0.0,211.0
accuracy,0.10730769230769231,0.10730769230769231,0.10730769230769231,0.10730769230769231
macro avg,0.07400792621169856,0.09830319614420535,0.04589847120647593,2600.0
weighted avg,0.07515747388070994,0.10730769230769231,0.04908278281908401,2600.0
