,precision,recall,f1-score,support
BENIGN,0.15017064846416384,0.45595854922279794,0.22593068035943517,193.0
Bot,0.0,0.0,0.0,215.0
Brute Force,0.0,0.0,0.0,180.0
DDoS,0.0,0.0,0.0,193.0
DoS,0.02403846153846154,0.023148148148148147,0.02358490566037736,216.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,191.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,210.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,202.0
accuracy,0.058125,0.058125,0.058125,0.058125
macro avg,0.009168900526453966,0.025216141966891897,0.013132399264200659,1600.0
weighted avg,0.02135952677868207,0.058125,0.03043685058250781,1600.0
