,precision,recall,f1-score,support
BENIGN,0.05089058524173028,0.30456852791878175,0.0872093023255814,197.0
Bot,0.0,0.0,0.0,203.0
Brute Force,0.30991735537190085,0.36764705882352944,0.336322869955157,204.0
DDoS,0.46808510638297873,0.12087912087912088,0.19213973799126638,182.0
DoS,0.0,0.0,0.0,206.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,211.0
Port Scan,0.0,0.0,0.0,201.0
Web Attack,0.0,0.0,0.0,196.0
accuracy,0.098125,0.098125,0.098125,0.098125
macro avg,0.08288930469966098,0.0793094707621432,0.061567191027200485,1600.0
weighted avg,0.09902504696886924,0.098125,0.07547470646462628,1600.0
