,precision,recall,f1-score,support
BENIGN,0.116600790513834,0.8428571428571429,0.2048611111111111,210.0
Bot,0.0,0.0,0.0,168.0
Brute Force,0.16666666666666666,0.029411764705882353,0.05,204.0
DDoS,0.0,0.0,0.0,200.0
DoS,0.3333333333333333,0.06372549019607843,0.10699588477366255,204.0
Infiltration,0.0,0.0,0.0,212.0
Port Scan,0.0,0.0,0.0,213.0
Web Attack,0.0,0.0,0.0,189.0
accuracy,0.1225,0.1225,0.1225,0.1225
macro avg,0.07707509881422925,0.11699929971988796,0.04523212448559671,1600.0
weighted avg,0.07905385375494071,0.1225,0.04690499614197531,1600.0
