,precision,recall,f1-score,support
BENIGN,0.14620431115276475,0.78,0.2462509865824783,200.0
Bot,0.0,0.0,0.0,183.0
Brute Force,1.0,0.1043956043956044,0.1890547263681592,182.0
DDoS,0.0,0.0,0.0,194.0
DoS,0.06756756756756757,0.04854368932038835,0.05649717514124294,206.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.45,0.0430622009569378,0.07860262008733625,209.0
Port Scan,0.0,0.0,0.0,214.0
Reconnaissance,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,212.0
accuracy,0.12125,0.12125,0.12125,0.12125
macro avg,0.07233790777044923,0.04243484759447524,0.024800239486052898,1600.0
weighted avg,0.1995061132184199,0.12125,0.06982782699553122,1600.0
