,precision,recall,f1-score,support
BENIGN,0.1295843520782396,0.25728155339805825,0.17235772357723578,206.0
Bot,0.0,0.0,0.0,198.0
Brute Force,0.0,0.0,0.0,216.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.0,0.0,0.0,184.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,225.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,172.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,203.0
accuracy,0.033125,0.033125,0.033125,0.033125
macro avg,0.006170683432297123,0.012251502542764678,0.008207510646535037,1600.0
weighted avg,0.01668398533007335,0.033125,0.022191056910569107,1600.0
