,precision,recall,f1-score,support
BENIGN,0.1981981981981982,0.5978260869565217,0.2976995940460081,184.0
Bot,0.0,0.0,0.0,197.0
Brute Force,0.0,0.0,0.0,196.0
DDoS,0.0,0.0,0.0,208.0
DoS,0.0,0.0,0.0,203.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,231.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,190.0
accuracy,0.06875,0.06875,0.06875,0.06875
macro avg,0.015246015246015246,0.04598662207357859,0.022899968772769855,1600.0
weighted avg,0.022792792792792792,0.06875,0.03423545331529093,1600.0
