,precision,recall,f1-score,support
BENIGN,0.30484988452655887,0.6633165829145728,0.4177215189873418,199.0
Bot,0.0,0.0,0.0,188.0
Brute Force,0.0,0.0,0.0,231.0
DDoS,0.0,0.0,0.0,184.0
DoS,0.04979253112033195,0.06666666666666667,0.057007125890736345,180.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.12087912087912088,0.05472636815920398,0.07534246575342465,201.0
LDAP,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,206.0
Reconnaissance,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,211.0
accuracy,0.096875,0.096875,0.096875,0.096875
macro avg,0.023776076826300584,0.039235480887022174,0.02750355553157514,1600.0
weighted avg,0.058702803699467655,0.096875,0.06783231284703245,1600.0
