,precision,recall,f1-score,support
BENIGN,0.06666666666666667,0.32160804020100503,0.11044003451251079,199.0
Bot,0.0,0.0,0.0,215.0
Brute Force,0.0,0.0,0.0,208.0
DDoS,0.0,0.0,0.0,178.0
DoS,0.2,0.00546448087431694,0.010638297872340425,183.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,196.0
LDAP,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,220.0
accuracy,0.040625,0.040625,0.040625,0.040625
macro avg,0.017777777777777778,0.0218048347383548,0.008071888825656747,1600.0
weighted avg,0.031166666666666665,0.040625,0.014952734611642466,1600.0
