,precision,recall,f1-score,support
BENIGN,0.0425531914893617,0.09137055837563451,0.05806451612903226,197.0
Bot,0.0,0.0,0.0,213.0
Brute Force,0.0,0.0,0.0,188.0
DDoS,0.0,0.0,0.0,212.0
DoS,0.0,0.0,0.0,209.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,190.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,190.0
accuracy,0.01125,0.01125,0.01125,0.01125
macro avg,0.0025031289111389237,0.005374738727978501,0.003415559772296015,1600.0
weighted avg,0.0052393617021276595,0.01125,0.007149193548387097,1600.0
