,precision,recall,f1-score,support
BENIGN,0.11994322214336409,0.8622448979591837,0.21059190031152647,196.0
Bot,0.0,0.0,0.0,204.0
Brute Force,0.0,0.0,0.0,206.0
DDoS,0.20567375886524822,0.13004484304932734,0.15934065934065933,223.0
DoS,0.0,0.0,0.0,180.0
Exploits,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,216.0
Port Scan,0.0,0.0,0.0,187.0
Web Attack,0.0,0.0,0.0,188.0
accuracy,0.12375,0.12375,0.12375,0.12375
macro avg,0.036179664556512475,0.11025441566761233,0.04110361773913176,1600.0
weighted avg,0.043358824854406064,0.12375,0.04800561218376639,1600.0
