,precision,recall,f1-score,support
BENIGN,0.14776883686905634,0.9950738916256158,0.2573248407643312,203.0
Bot,0.0,0.0,0.0,197.0
Brute Force,0.047619047619047616,0.05612244897959184,0.05152224824355972,196.0
DDoS,0.0,0.0,0.0,192.0
DoS,0.0,0.0,0.0,207.0
Infiltration,0.0,0.0,0.0,185.0
Port Scan,0.0,0.0,0.0,213.0
Web Attack,0.0,0.0,0.0,207.0
accuracy,0.133125,0.133125,0.133125,0.133125
macro avg,0.024423485561012995,0.13139954257565095,0.038605886125986366,1600.0
weighted avg,0.024581504511094854,0.133125,0.03895956458181059,1600.0
