,precision,recall,f1-score,support
BENIGN,0.36363636363636365,0.9357798165137615,0.5237483953786907,218.0
Bot,0.0,0.0,0.0,185.0
Brute Force,0.0,0.0,0.0,207.0
DDoS,0.0,0.0,0.0,204.0
DoS,0.25087719298245614,0.7079207920792079,0.3704663212435233,202.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,198.0
Port Scan,0.0,0.0,0.0,198.0
Shellcode,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,188.0
accuracy,0.216875,0.216875,0.216875,0.216875
macro avg,0.051209463051568316,0.13697505071608077,0.07451789305185116,1600.0
weighted avg,0.08121870015948965,0.216875,0.11813209192734142,1600.0
