,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,214.0
Bot,0.0,0.0,0.0,187.0
Brute Force,0.3064516129032258,0.08520179372197309,0.13333333333333333,223.0
DDoS,0.0,0.0,0.0,233.0
DoS,0.0,0.0,0.0,189.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.2682926829268293,0.05670103092783505,0.09361702127659574,194.0
LDAP,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,194.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,166.0
accuracy,0.01875,0.01875,0.01875,0.01875
macro avg,0.03380848799000324,0.008347224979400478,0.013350020859407593,1600.0
weighted avg,0.07524218135326516,0.01875,0.029934397163120567,1600.0
