,precision,recall,f1-score,support
BENIGN,0.1,0.041025641025641026,0.05818181818181818,195.0
Bot,0.0,0.0,0.0,199.0
Brute Force,0.04838709677419355,0.016129032258064516,0.024193548387096774,186.0
DDoS,0.0,0.0,0.0,210.0
DoS,0.0,0.0,0.0,194.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Infiltration,0.8947368421052632,0.08374384236453201,0.15315315315315314,203.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,199.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,214.0
accuracy,0.0175,0.0175,0.0175,0.0175
macro avg,0.049672568518069365,0.00670945312610655,0.011215643796288957,1600.0
weighted avg,0.13133223684210527,0.0175,0.029334715397215393,1600.0
