,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,198.0
Bot,0.0,0.0,0.0,210.0
Brute Force,0.0,0.0,0.0,192.0
DDoS,0.0,0.0,0.0,233.0
DoS,0.0,0.0,0.0,189.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,199.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,198.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,181.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,1600.0
weighted avg,0.0,0.0,0.0,1600.0
