,precision,recall,f1-score,support
BENIGN,0.012396694214876033,0.014423076923076924,0.013333333333333334,208.0
Bot,0.0,0.0,0.0,189.0
Brute Force,0.0125,0.005555555555555556,0.007692307692307693,180.0
DDoS,0.0,0.0,0.0,199.0
DoS,0.0,0.0,0.0,194.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,195.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,200.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,235.0
accuracy,0.0025,0.0025,0.0025,0.0025
macro avg,0.0014645114244044727,0.0011752136752136754,0.0012368024132730017,1600.0
weighted avg,0.0030178202479338844,0.0025,0.002598717948717949,1600.0
