,precision,recall,f1-score,support
BENIGN,0.3,0.9344262295081968,0.4541832669322709,183.0
Bot,0.0,0.0,0.0,189.0
Brute Force,0.038539553752535496,0.08878504672897196,0.05374823196605375,214.0
DDoS,0.0,0.0,0.0,186.0
DoS,0.0,0.0,0.0,219.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.1111111111111111,0.005050505050505051,0.00966183574879227,198.0
Port Scan,0.0,0.0,0.0,199.0
Shellcode,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,212.0
accuracy,0.119375,0.119375,0.119375,0.119375
macro avg,0.037470888738637215,0.08568848177397281,0.04313277788725975,1600.0
weighted avg,0.05321716531440163,0.119375,0.060331689354751215,1600.0
