,precision,recall,f1-score,support
BENIGN,0.2845659163987138,0.8309859154929577,0.4239520958083832,213.0
Bot,0.005434782608695652,0.005681818181818182,0.005555555555555556,176.0
Brute Force,0.1809775429326288,0.7248677248677249,0.28964059196617337,189.0
DDoS,0.0,0.0,0.0,211.0
DoS,0.0,0.0,0.0,204.0
Infiltration,0.6,0.013888888888888888,0.027149321266968326,216.0
Port Scan,0.0,0.0,0.0,185.0
Web Attack,0.0,0.0,0.0,206.0
accuracy,0.19875,0.19875,0.19875,0.19875
macro avg,0.13387228024250478,0.19692804342892373,0.09328719557463507,1600.0
weighted avg,0.14085863596645207,0.19875,0.09492868716264707,1600.0
