,precision,recall,f1-score,support
BENIGN,1.0,0.9227053140096618,0.9597989949748744,207.0
Bot,0.9796954314720813,1.0,0.9897435897435898,193.0
Brute Force,0.9951690821256038,0.9856459330143541,0.9903846153846154,209.0
DDoS,0.9847715736040609,0.9897959183673469,0.9872773536895675,196.0
DoS,0.926829268292683,0.9693877551020408,0.9476309226932669,196.0
Exploits,0.984375,0.9895287958115183,0.9869451697127938,191.0
Fuzzers,0.9322916666666666,0.9623655913978495,0.9470899470899471,186.0
Generic,0.9562841530054644,0.9308510638297872,0.9433962264150944,188.0
Port Scan,0.9901477832512315,0.995049504950495,0.9925925925925926,202.0
Reconnaissance,0.9906976744186047,1.0,0.9953271028037384,213.0
Shellcode,0.9951690821256038,0.9903846153846154,0.9927710843373494,208.0
Web Attack,0.995260663507109,0.995260663507109,0.995260663507109,211.0
accuracy,0.9779166666666667,0.9779166666666667,0.9779166666666667,0.9779166666666667
macro avg,0.9775576148724258,0.9775812629478983,0.9773515219120448,2400.0
weighted avg,0.9783217679854954,0.9779166666666667,0.9778999257707134,2400.0
