,precision,recall,f1-score,support
BENIGN,0.2041958041958042,0.7487179487179487,0.3208791208791209,195.0
Bot,1.0,0.07253886010362694,0.13526570048309178,193.0
Brute Force,0.06915629322268327,0.2347417840375587,0.10683760683760683,213.0
DDoS,0.040194884287454324,0.1625615763546798,0.064453125,203.0
DoS,0.16666666666666666,0.021621621621621623,0.03827751196172249,185.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,231.0
Fuzzers,0.0,0.0,0.0,193.0
Generic,0.0,0.0,0.0,209.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,171.0
Reconnaissance,0.0,0.0,0.0,211.0
Shellcode,0.0,0.0,0.0,208.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,188.0
accuracy,0.10291666666666667,0.10291666666666667,0.10291666666666667,0.10291666666666667
macro avg,0.07048636420821945,0.05905627575406837,0.03170062215054962,2400.0
weighted avg,0.11939223629929162,0.10291666666666667,0.05483310129541425,2400.0
