,precision,recall,f1-score,support
BENIGN,0.0707070707070707,0.7989130434782609,0.12991604065399912,184.0
Bot,0.0,0.0,0.0,191.0
Brute Force,0.0,0.0,0.0,197.0
DDoS,0.0,0.0,0.0,186.0
DoS,0.011695906432748537,0.009174311926605505,0.010282776349614395,218.0
Exploits,0.14285714285714285,0.004464285714285714,0.008658008658008658,224.0
Fuzzers,0.0,0.0,0.0,185.0
Generic,0.2857142857142857,0.10476190476190476,0.15331010452961671,210.0
Port Scan,0.0,0.0,0.0,208.0
Reconnaissance,0.0,0.0,0.0,200.0
Shellcode,0.0,0.0,0.0,187.0
Web Attack,0.0,0.0,0.0,210.0
accuracy,0.07166666666666667,0.07166666666666667,0.07166666666666667,0.07166666666666667
macro avg,0.04258120047593731,0.07644279549008808,0.02518057751593657,2400.0
weighted avg,0.04481658692185008,0.07166666666666667,0.025116963589652177,2400.0
