,precision,recall,f1-score,support
BENIGN,0.07736207989854153,0.6288659793814433,0.13777526821005082,194.0
Bot,0.0,0.0,0.0,200.0
Brute Force,0.0,0.0,0.0,217.0
DDoS,0.0,0.0,0.0,211.0
DoS,0.0,0.0,0.0,177.0
Exploits,0.0,0.0,0.0,202.0
Fuzzers,0.0,0.0,0.0,195.0
Generic,0.75,0.0136986301369863,0.026905829596412557,219.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,196.0
Reconnaissance,0.0,0.0,0.0,195.0
Shellcode,0.0625,0.0049504950495049506,0.009174311926605505,202.0
Syn,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,192.0
accuracy,0.0525,0.0525,0.0525,0.0525
macro avg,0.05234482822932597,0.03808912379811379,0.010226788807827581,2400.0
weighted avg,0.07995135145846545,0.0525,0.014364162384807718,2400.0
