,precision,recall,f1-score,support
BENIGN,0.11022727272727273,0.4470046082949309,0.17684594348222424,217.0
Bot,0.0,0.0,0.0,202.0
Brute Force,0.0,0.0,0.0,232.0
DDoS,0.16417910447761194,0.05365853658536585,0.08088235294117647,205.0
DoS,0.01282051282051282,0.004524886877828055,0.006688963210702341,221.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,204.0
Fuzzers,0.0,0.0,0.0,194.0
Generic,0.0,0.0,0.0,192.0
Infiltration,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,178.0
Reconnaissance,0.0,0.0,0.0,204.0
Shellcode,0.0,0.0,0.0,190.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,161.0
accuracy,0.04541666666666667,0.04541666666666667,0.04541666666666667,0.04541666666666667
macro avg,0.016895699413258677,0.029716943044595573,0.015553956449064887,2400.0
weighted avg,0.02517056997210915,0.04541666666666667,0.023514463732562104,2400.0
