,precision,recall,f1-score,support
BENIGN,0.08168083097261568,0.9664804469273743,0.15063125816282108,179.0
Bot,0.0,0.0,0.0,209.0
Brute Force,0.0,0.0,0.0,204.0
DDoS,0.0,0.0,0.0,193.0
DoS,0.1724137931034483,0.12626262626262627,0.1457725947521866,198.0
Exploits,0.0,0.0,0.0,209.0
Fuzzers,0.0,0.0,0.0,209.0
Generic,0.0,0.0,0.0,194.0
Infiltration,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,198.0
Reconnaissance,0.0,0.0,0.0,197.0
Shellcode,0.0,0.0,0.0,215.0
Web Attack,0.0,0.0,0.0,195.0
accuracy,0.0825,0.0825,0.0825,0.0825
macro avg,0.019545740313543385,0.08405715947615389,0.022800296378077515,2400.0
weighted avg,0.020316166574408736,0.0825,0.023260820405032464,2400.0
