,precision,recall,f1-score,support
BENIGN,0.06633499170812604,0.20512820512820512,0.10025062656641603,195.0
Bot,0.0,0.0,0.0,206.0
Brute Force,0.0,0.0,0.0,178.0
DDoS,0.16184971098265896,0.717948717948718,0.2641509433962264,195.0
DoS,0.07142857142857142,0.008771929824561403,0.015625,228.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,195.0
Generic,0.23809523809523808,0.026455026455026454,0.047619047619047616,189.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,210.0
Reconnaissance,0.0,0.0,0.0,212.0
Shellcode,0.0,0.0,0.0,205.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.3333333333333333,0.047619047619047616,0.08333333333333333,189.0
accuracy,0.08166666666666667,0.08166666666666667,0.08166666666666667,0.08166666666666667
macro avg,0.04839121364155155,0.0558846070541977,0.02838771949527908,2400.0
weighted avg,0.07032572137934057,0.08166666666666667,0.0414045025594647,2400.0
