,precision,recall,f1-score,support
BENIGN,0.06788154897494306,0.745,0.1244258872651357,200.0
Bot,0.0,0.0,0.0,217.0
Brute Force,0.0,0.0,0.0,206.0
DDoS,0.0,0.0,0.0,191.0
DoS,0.7816901408450704,0.5414634146341464,0.6397694524495677,205.0
Exploits,0.0,0.0,0.0,200.0
Fuzzers,0.0,0.0,0.0,179.0
Generic,0.0,0.0,0.0,182.0
Port Scan,0.0,0.0,0.0,189.0
Reconnaissance,0.0,0.0,0.0,205.0
Shellcode,0.0,0.0,0.0,209.0
Web Attack,0.0,0.0,0.0,217.0
accuracy,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.10833333333333334
macro avg,0.07079764081833445,0.10720528455284555,0.06368294497622529,2400.0
weighted avg,0.07242616194509502,0.10833333333333334,0.0650157980021619,2400.0
