,precision,recall,f1-score,support
BENIGN,0.1069182389937107,0.7251184834123223,0.18635809987819732,211.0
Bot,0.0,0.0,0.0,192.0
Brute Force,0.10078387458006718,0.42857142857142855,0.1631912964641886,210.0
DDoS,0.0,0.0,0.0,195.0
DoS,0.09090909090909091,0.005649717514124294,0.010638297872340425,177.0
Exploits,0.0,0.0,0.0,201.0
Fuzzers,0.0,0.0,0.0,186.0
Generic,0.0,0.0,0.0,219.0
Infiltration,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,233.0
Reconnaissance,0.0,0.0,0.0,191.0
Shellcode,0.0,0.0,0.0,188.0
Web Attack,0.0,0.0,0.0,197.0
accuracy,0.10166666666666667,0.10166666666666667,0.10166666666666667,0.10166666666666667
macro avg,0.02297009265252837,0.08917997149983656,0.027706745708825104,2400.0
weighted avg,0.024923029658498397,0.10166666666666667,0.031447795856326455,2400.0
