,precision,recall,f1-score,support
BENIGN,0.9946236559139785,0.8043478260869565,0.8894230769230769,230.0
Bot,0.8678414096916299,0.9704433497536946,0.9162790697674419,203.0
Brute Force,0.897196261682243,0.9846153846153847,0.9388753056234719,195.0
DDoS,0.8240740740740741,0.8725490196078431,0.8476190476190476,204.0
DoS,0.7259615384615384,0.825136612021858,0.7723785166240409,183.0
Exploits,0.8611111111111112,0.9841269841269841,0.9185185185185185,189.0
Fuzzers,0.7853107344632768,0.7128205128205128,0.7473118279569892,195.0
Generic,0.7828571428571428,0.6748768472906403,0.7248677248677249,203.0
Port Scan,0.9900990099009901,1.0,0.9950248756218906,200.0
Reconnaissance,0.8589211618257261,0.9951923076923077,0.9220489977728286,208.0
Shellcode,0.9938271604938271,0.8090452261306532,0.8919667590027701,199.0
Web Attack,1.0,0.9214659685863874,0.9591280653950953,191.0
accuracy,0.87875,0.87875,0.87875,0.87875
macro avg,0.8818186050396282,0.8795516698944352,0.8769534821410746,2400.0
weighted avg,0.8837929968765775,0.87875,0.8774467352087761,2400.0
