,precision,recall,f1-score,support
BENIGN,0.08,0.0784313725490196,0.07920792079207921,204.0
Bot,0.0,0.0,0.0,200.0
Brute Force,0.0,0.0,0.0,226.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.8571428571428571,0.06818181818181818,0.12631578947368421,176.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,179.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
Web Attack,0.07246376811594203,0.047619047619047616,0.05747126436781609,210.0
accuracy,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.027142857142857142
macro avg,0.053137190803094696,0.010222749386836073,0.013841840770188395,1400.0
weighted avg,0.13028181011535048,0.027142857142857142,0.03604211450442426,1400.0
