,precision,recall,f1-score,support
BENIGN,0.14264264264264265,0.9693877551020408,0.2486910994764398,196.0
Bot,0.0,0.0,0.0,212.0
Brute Force,0.0,0.0,0.0,210.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.0,0.0,0.0,201.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,188.0
Shellcode,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,197.0
accuracy,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.1357142857142857
macro avg,0.014264264264264265,0.09693877551020408,0.02486910994764398,1400.0
weighted avg,0.01996996996996997,0.1357142857142857,0.03481675392670157,1400.0
