,precision,recall,f1-score,support
BENIGN,0.975609756097561,0.9248554913294798,0.9495548961424333,173.0
Bot,0.9808612440191388,0.9808612440191388,0.9808612440191388,209.0
Brute Force,0.95260663507109,0.995049504950495,0.9733656174334141,202.0
DDoS,0.9895833333333334,0.9895833333333334,0.9895833333333334,192.0
DoS,0.9805825242718447,0.9853658536585366,0.9829683698296837,205.0
Port Scan,1.0,0.990521327014218,0.9952380952380953,211.0
Web Attack,0.9904306220095693,0.9951923076923077,0.9928057553956835,208.0
accuracy,0.9814285714285714,0.9814285714285714,0.9814285714285714,0.9814285714285714
macro avg,0.9813820164003625,0.9802041517139298,0.980625330198826,1400.0
weighted avg,0.9815971535306833,0.9814285714285714,0.9813572877048685,1400.0
