,precision,recall,f1-score,support
BENIGN,0.1431064572425829,0.8241206030150754,0.24386617100371746,199.0
Bot,0.0,0.0,0.0,213.0
Brute Force,0.366412213740458,0.2681564245810056,0.3096774193548387,179.0
DDoS,0.0,0.0,0.0,207.0
DoS,0.20512820512820512,0.04040404040404041,0.06751054852320675,198.0
Exploits,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,213.0
accuracy,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.15714285714285714
macro avg,0.07146468761112461,0.11326810680001213,0.06210541388817629,1400.0
weighted avg,0.09620096847585756,0.15714285714285714,0.08380622478703631,1400.0
