,precision,recall,f1-score,support
BENIGN,0.09377817853922453,0.5306122448979592,0.15938697318007664,196.0
Bot,0.0,0.0,0.0,181.0
Brute Force,0.0,0.0,0.0,209.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.37267080745341613,0.2926829268292683,0.32786885245901637,205.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,220.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,192.0
accuracy,0.11714285714285715,0.11714285714285715,0.11714285714285715,0.11714285714285715
macro avg,0.042404453272058246,0.07484501561156613,0.044295984149008455,1400.0
weighted avg,0.06769859894402737,0.11714285714285715,0.07032354392670956,1400.0
