,precision,recall,f1-score,support
BENIGN,0.21311475409836064,0.8666666666666667,0.34210526315789475,15.0
Bot,0.18055555555555555,0.6190476190476191,0.27956989247311825,21.0
Brute Force,0.0,0.0,0.0,15.0
DDoS,0.0,0.0,0.0,21.0
DoS,0.0,0.0,0.0,27.0
Port Scan,0.0,0.0,0.0,20.0
Web Attack,0.0,0.0,0.0,21.0
accuracy,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572
macro avg,0.05623861566484517,0.2122448979591837,0.08881073651871614,140.0
weighted avg,0.049917056986729116,0.18571428571428572,0.07858961920931361,140.0
