,precision,recall,f1-score,support
BENIGN,0.040625,0.21910112359550563,0.06854130052724078,178.0
Bot,0.0,0.0,0.0,212.0
Brute Force,0.2,0.004545454545454545,0.008888888888888889,220.0
DDoS,0.0,0.0,0.0,186.0
DoS,0.0,0.0,0.0,202.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,182.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,220.0
accuracy,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
macro avg,0.013368055555555557,0.01242480989672001,0.004301677189784981,1400.0
weighted avg,0.03659375,0.02857142857142857,0.01011136217814601,1400.0
