,precision,recall,f1-score,support
BENIGN,0.1347414420975965,0.9840425531914894,0.2370275464445868,188.0
Bot,0.0,0.0,0.0,190.0
Brute Force,0.0,0.0,0.0,196.0
DDoS,0.0,0.0,0.0,209.0
DoS,0.3333333333333333,0.004484304932735426,0.008849557522123894,223.0
Infiltration,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,187.0
Web Attack,0.0,0.0,0.0,207.0
accuracy,0.13285714285714287,0.13285714285714287,0.13285714285714287,0.13285714285714287
macro avg,0.058509346928866224,0.1235658572655281,0.030734637995838837,1400.0
weighted avg,0.07118908889120104,0.13285714285714287,0.033239021470725674,1400.0
