,precision,recall,f1-score,support
BENIGN,0.42857142857142855,0.014285714285714285,0.027649769585253458,210.0
Bot,0.08928571428571429,0.02512562814070352,0.0392156862745098,199.0
Brute Force,0.0,0.0,0.0,184.0
DDoS,0.0,0.0,0.0,191.0
DoS,0.0,0.0,0.0,195.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,212.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,1.0,0.004784688995215311,0.009523809523809525,209.0
accuracy,0.0064285714285714285,0.0064285714285714285,0.0064285714285714285,0.0064285714285714285
macro avg,0.07988721804511278,0.0023261069169280587,0.004020487651766989,1400.0
weighted avg,0.2262627551020408,0.0064285714285714285,0.011143463837147762,1400.0
