,precision,recall,f1-score,support
BENIGN,0.936046511627907,0.817258883248731,0.8726287262872628,197.0
Bot,0.9427312775330396,0.9771689497716894,0.9596412556053812,219.0
Brute Force,0.9592760180995475,0.9953051643192489,0.9769585253456221,213.0
DDoS,0.9068627450980392,0.9893048128342246,0.9462915601023018,187.0
DoS,0.9086021505376344,0.8756476683937824,0.8918205804749341,193.0
Port Scan,1.0,0.9897959183673469,0.9948717948717949,196.0
Web Attack,0.9897959183673469,0.9948717948717949,0.9923273657289002,195.0
accuracy,0.9492857142857143,0.9492857142857143,0.9492857142857143,0.9492857142857143
macro avg,0.9490449458947878,0.948479027400974,0.9477914012023139,1400.0
weighted avg,0.9493848977816904,0.9492857142857143,0.9483843298839907,1400.0
