,precision,recall,f1-score,support
BENIGN,0.030612244897959183,0.033707865168539325,0.03208556149732621,178.0
Bot,0.660377358490566,0.358974358974359,0.46511627906976744,195.0
Brute Force,0.5443037974683544,0.19724770642201836,0.2895622895622896,218.0
DDoS,0.3333333333333333,0.020512820512820513,0.03864734299516908,195.0
DoS,0.0,0.0,0.0,219.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,209.0
Reconnaissance,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,186.0
accuracy,0.08785714285714286,0.08785714285714286,0.08785714285714286,0.08785714285714286
macro avg,0.08714592967723406,0.033913486170985406,0.04585619295136402,1400.0
weighted avg,0.22705770881828455,0.08785714285714286,0.11933551098126129,1400.0
