,precision,recall,f1-score,support
BENIGN,0.16,0.9569377990430622,0.27416038382453733,209.0
Bot,0.0,0.0,0.0,214.0
Brute Force,0.0,0.0,0.0,184.0
DDoS,0.0,0.0,0.0,204.0
DoS,0.8314606741573034,0.3592233009708738,0.5016949152542373,206.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,192.0
accuracy,0.1957142857142857,0.1957142857142857,0.1957142857142857,0.1957142857142857
macro avg,0.09013278855975486,0.11965100909217599,0.07053229991625223,1400.0
weighted avg,0.14622921348314608,0.1957142857142857,0.11474905197264369,1400.0
