,precision,recall,f1-score,support
BENIGN,0.14928909952606634,0.5943396226415094,0.23863636363636365,212.0
Bot,0.923728813559322,0.4823008849557522,0.6337209302325582,226.0
Brute Force,0.6825396825396826,0.4236453201970443,0.5227963525835866,203.0
DDoS,0.9230769230769231,0.18274111675126903,0.3050847457627119,197.0
DoS,0.7777777777777778,0.9103139013452914,0.8388429752066116,223.0
DrDoS_DNS,0.7481481481481481,0.5153061224489796,0.6102719033232629,196.0
DrDoS_LDAP,0.5825242718446602,0.2777777777777778,0.3761755485893417,216.0
DrDoS_MSSQL,0.6643356643356644,0.49222797927461137,0.5654761904761905,193.0
DrDoS_NTP,0.9057591623036649,1.0,0.9505494505494505,173.0
DrDoS_NetBIOS,0.7142857142857143,0.6451612903225806,0.6779661016949152,217.0
DrDoS_SNMP,0.5843373493975904,0.4898989898989899,0.532967032967033,198.0
DrDoS_SSDP,0.5083333333333333,0.5700934579439252,0.5374449339207048,214.0
DrDoS_UDP,0.0,0.0,0.0,194.0
Exploits,0.23394495412844038,0.2318181818181818,0.2328767123287671,220.0
Fuzzers,0.6040268456375839,0.5027932960893855,0.5487804878048781,179.0
Generic,0.20821917808219179,0.40860215053763443,0.27586206896551724,186.0
Infiltration,0.05067064083457526,0.17525773195876287,0.07861271676300578,194.0
LDAP,0.5979020979020979,0.8636363636363636,0.7066115702479339,198.0
MSSQL,0.7614678899082569,0.4068627450980392,0.5303514376996805,204.0
NetBIOS,0.668,0.8520408163265306,0.7488789237668162,196.0
Reconnaissance,0.4533333333333333,0.3383084577114428,0.38746438746438744,201.0
Shellcode,0.2838427947598253,0.3333333333333333,0.30660377358490565,195.0
Syn,0.7674418604651163,0.1783783783783784,0.2894736842105263,185.0
TFTP,0.0,0.0,0.0,181.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.1111111111111111,0.005025125628140704,0.009615384615384616,199.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.42057692307692307,0.42057692307692307,0.42057692307692307,0.42057692307692307
macro avg,0.47792950541818807,0.4029578905212564,0.4038912472738716,5200.0
weighted avg,0.4989370217882206,0.42057692307692307,0.42177936557810025,5200.0
