,precision,recall,f1-score,support
BENIGN,0.05489864864864865,0.6341463414634146,0.10104935872522347,205.0
Bot,0.0,0.0,0.0,187.0
Brute Force,0.36363636363636365,0.02030456852791878,0.038461538461538464,197.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.0,0.0,0.0,192.0
DrDoS_DNS,0.0,0.0,0.0,191.0
DrDoS_LDAP,0.0,0.0,0.0,188.0
DrDoS_MSSQL,0.0,0.0,0.0,190.0
DrDoS_NTP,0.6923076923076923,0.2356020942408377,0.3515625,191.0
DrDoS_NetBIOS,0.05555555555555555,0.1583710407239819,0.08225616921269095,221.0
DrDoS_SNMP,0.0,0.0,0.0,207.0
DrDoS_SSDP,0.0,0.0,0.0,202.0
DrDoS_UDP,0.0,0.0,0.0,177.0
Exploits,0.0,0.0,0.0,204.0
Fuzzers,0.0,0.0,0.0,203.0
Generic,0.0,0.0,0.0,205.0
Infiltration,0.03806228373702422,0.05045871559633028,0.04339250493096647,218.0
LDAP,0.23529411764705882,0.39285714285714285,0.29431438127090304,224.0
MSSQL,0.0,0.0,0.0,189.0
NetBIOS,0.0,0.0,0.0,211.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,191.0
Shellcode,0.0,0.0,0.0,230.0
Syn,0.0,0.0,0.0,210.0
TFTP,0.0,0.0,0.0,192.0
UDP,0.0,0.0,0.0,187.0
UDP-lag,0.0,0.0,0.0,192.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.06019230769230769,0.06019230769230769,0.06019230769230769,0.06019230769230769
macro avg,0.05141980934044083,0.053276425121772365,0.032537016164332945,5200.0
weighted avg,0.05546203727413386,0.06019230769230769,0.036347130767544526,5200.0
