,precision,recall,f1-score,support
BENIGN,0.9554455445544554,0.9414634146341463,0.9484029484029484,205.0
Bot,1.0,0.9903381642512077,0.9951456310679612,207.0
Brute Force,0.9308755760368663,0.9950738916256158,0.9619047619047619,203.0
DDoS,0.9949494949494949,1.0,0.9974683544303797,197.0
DoS,0.967391304347826,0.9368421052631579,0.9518716577540107,190.0
DrDoS_DNS,0.9438202247191011,0.835820895522388,0.8865435356200527,201.0
DrDoS_LDAP,0.8810572687224669,0.9345794392523364,0.9070294784580499,214.0
DrDoS_MSSQL,0.8765957446808511,0.9809523809523809,0.9258426966292135,210.0
DrDoS_NTP,1.0,1.0,1.0,207.0
DrDoS_NetBIOS,0.9588235294117647,0.8956043956043956,0.9261363636363636,182.0
DrDoS_SNMP,0.9685863874345549,0.9736842105263158,0.9711286089238845,190.0
DrDoS_SSDP,0.9893617021276596,0.9893617021276596,0.9893617021276596,188.0
DrDoS_UDP,1.0,0.9753694581280788,0.9875311720698254,203.0
Exploits,0.9090909090909091,0.9734513274336283,0.9401709401709402,226.0
Fuzzers,0.965,0.9368932038834952,0.9507389162561576,206.0
Generic,0.9444444444444444,0.8900523560209425,0.9164420485175202,191.0
Infiltration,0.9411764705882353,0.9263157894736842,0.9336870026525199,190.0
LDAP,0.9490740740740741,0.9761904761904762,0.9624413145539906,210.0
MSSQL,0.964824120603015,0.9504950495049505,0.9576059850374065,202.0
NetBIOS,0.9946524064171123,0.9841269841269841,0.9893617021276596,189.0
Reconnaissance,0.9725274725274725,0.9943820224719101,0.9833333333333333,178.0
Shellcode,0.983957219251337,0.9787234042553191,0.9813333333333333,188.0
Syn,0.9714285714285714,0.9902912621359223,0.9807692307692307,206.0
TFTP,0.9952380952380953,0.9952380952380953,0.9952380952380953,210.0
UDP,1.0,0.9951456310679612,0.9975669099756691,206.0
UDP-lag,0.9948717948717949,0.9651741293532339,0.9797979797979798,201.0
accuracy,0.9621153846153846,0.9621153846153846,0.9621153846153846,0.9621153846153846
macro avg,0.9635843213661577,0.9617526841940107,0.962186680876498,5200.0
weighted avg,0.9629507038888411,0.9621153846153846,0.962042077179384,5200.0
