,precision,recall,f1-score,support
BENIGN,0.03877005347593583,0.9157894736842105,0.07439076528430953,190.0
Bot,0.0,0.0,0.0,187.0
Brute Force,0.0,0.0,0.0,197.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.001483679525222552,0.005376344086021506,0.002325581395348837,186.0
DrDoS_DNS,0.0,0.0,0.0,188.0
DrDoS_LDAP,0.0,0.0,0.0,213.0
DrDoS_MSSQL,0.0,0.0,0.0,198.0
DrDoS_NTP,0.0,0.0,0.0,197.0
DrDoS_NetBIOS,0.0,0.0,0.0,174.0
DrDoS_SNMP,0.0,0.0,0.0,204.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,226.0
Exploits,0.0,0.0,0.0,217.0
Fuzzers,1.0,0.004975124378109453,0.009900990099009901,201.0
Generic,0.045454545454545456,0.005,0.009009009009009009,200.0
Infiltration,0.0,0.0,0.0,187.0
LDAP,0.0,0.0,0.0,212.0
MSSQL,0.0,0.0,0.0,199.0
NetBIOS,0.0,0.0,0.0,195.0
Reconnaissance,0.0,0.0,0.0,205.0
Shellcode,0.0,0.0,0.0,216.0
Syn,0.0,0.0,0.0,193.0
TFTP,0.0,0.0,0.0,217.0
UDP,0.0,0.0,0.0,212.0
UDP-lag,0.0,0.0,0.0,186.0
accuracy,0.03403846153846154,0.03403846153846154,0.03403846153846154,0.03403846153846154
macro avg,0.041758010709834766,0.035813113159551595,0.0036779363764491264,5200.0
weighted avg,0.04187176608519775,0.03403846153846154,0.003530520068318555,5200.0
