,precision,recall,f1-score,support
BENIGN,0.022191400832177532,0.48,0.04242156429518339,200.0
Bot,0.2712765957446808,0.46153846153846156,0.3417085427135678,221.0
Brute Force,0.0,0.0,0.0,195.0
DDoS,0.0,0.0,0.0,210.0
DoS,0.0029154518950437317,0.005235602094240838,0.003745318352059925,191.0
DrDoS_DNS,0.0,0.0,0.0,239.0
DrDoS_LDAP,0.0,0.0,0.0,188.0
DrDoS_MSSQL,0.0,0.0,0.0,201.0
DrDoS_NTP,0.0,0.0,0.0,195.0
DrDoS_NetBIOS,0.0,0.0,0.0,209.0
DrDoS_SNMP,0.0,0.0,0.0,183.0
DrDoS_SSDP,0.0,0.0,0.0,194.0
DrDoS_UDP,0.0,0.0,0.0,208.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.0,0.0,0.0,208.0
Generic,0.0,0.0,0.0,205.0
Infiltration,0.0,0.0,0.0,203.0
LDAP,0.0,0.0,0.0,201.0
MSSQL,0.0,0.0,0.0,194.0
NetBIOS,0.0,0.0,0.0,199.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,206.0
Shellcode,0.0,0.0,0.0,192.0
Syn,0.0,0.0,0.0,201.0
TFTP,0.0,0.0,0.0,190.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,164.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.03826923076923077,0.03826923076923077,0.03826923076923077,0.03826923076923077
macro avg,0.010585123159710788,0.03381335941545365,0.013852693762886113,5200.0
weighted avg,0.012489857526531409,0.03826923076923077,0.016291780116149734,5200.0
