,precision,recall,f1-score,support
BENIGN,0.7951807228915663,0.3567567567567568,0.4925373134328358,185.0
Bot,0.6610738255033557,0.9949494949494949,0.7943548387096774,198.0
Brute Force,0.7519685039370079,0.9227053140096618,0.8286334056399133,207.0
DDoS,0.7800829875518672,0.8173913043478261,0.7983014861995754,230.0
DoS,0.9794871794871794,0.8488888888888889,0.9095238095238095,225.0
DrDoS_DNS,0.6428571428571429,0.2755102040816326,0.38571428571428573,196.0
DrDoS_LDAP,0.6381578947368421,0.4898989898989899,0.5542857142857143,198.0
DrDoS_MSSQL,0.5768025078369906,0.8598130841121495,0.6904315196998124,214.0
DrDoS_NTP,0.7533632286995515,0.9230769230769231,0.8296296296296296,182.0
DrDoS_NetBIOS,0.753968253968254,0.45893719806763283,0.5705705705705706,207.0
DrDoS_SNMP,0.5239520958083832,0.8293838862559242,0.6422018348623854,211.0
DrDoS_SSDP,0.9537037037037037,0.9856459330143541,0.9694117647058823,209.0
DrDoS_UDP,0.9786096256684492,0.9891891891891892,0.9838709677419355,185.0
Exploits,0.6785714285714286,0.6363636363636364,0.6567901234567901,209.0
Fuzzers,0.4180064308681672,0.7065217391304348,0.5252525252525253,184.0
Generic,0.8095238095238095,0.46153846153846156,0.5878962536023055,221.0
Infiltration,0.6688741721854304,0.543010752688172,0.599406528189911,186.0
LDAP,0.7230769230769231,0.6878048780487804,0.705,205.0
MSSQL,0.8758620689655172,0.675531914893617,0.7627627627627628,188.0
NetBIOS,0.8138297872340425,0.8181818181818182,0.816,187.0
Reconnaissance,0.8131868131868132,0.7474747474747475,0.7789473684210526,198.0
Shellcode,0.7393162393162394,0.8439024390243902,0.7881548974943052,205.0
Syn,0.8870967741935484,0.859375,0.873015873015873,192.0
TFTP,0.9368421052631579,0.9888888888888889,0.9621621621621622,180.0
UDP,1.0,0.9945652173913043,0.997275204359673,184.0
UDP-lag,0.9950248756218906,0.9345794392523364,0.963855421686747,214.0
accuracy,0.755576923076923,0.755576923076923,0.755576923076923,0.755576923076923
macro avg,0.7749391961791254,0.7557648499817696,0.7486917792738514,5200.0
weighted avg,0.7747974608321311,0.755576923076923,0.748602369435662,5200.0
