,precision,recall,f1-score,support
BENIGN,0.3191489361702128,0.2393617021276596,0.2735562310030395,188.0
Bot,0.0,0.0,0.0,199.0
Brute Force,0.01206896551724138,0.038461538461538464,0.01837270341207349,182.0
DDoS,0.0,0.0,0.0,203.0
DoS,0.012012012012012012,0.05853658536585366,0.019933554817275746,205.0
DrDoS_DNS,0.0,0.0,0.0,179.0
DrDoS_LDAP,0.0,0.0,0.0,213.0
DrDoS_MSSQL,0.21428571428571427,0.03076923076923077,0.053811659192825115,195.0
DrDoS_NTP,0.759493670886076,0.30927835051546393,0.43956043956043955,194.0
DrDoS_NetBIOS,0.2558139534883721,0.04700854700854701,0.07942238267148015,234.0
DrDoS_SNMP,0.36752136752136755,0.22164948453608246,0.2765273311897106,194.0
DrDoS_SSDP,0.37589928057553956,0.9858490566037735,0.5442708333333334,212.0
DrDoS_UDP,0.0,0.0,0.0,201.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.5405405405405406,0.10752688172043011,0.17937219730941703,186.0
LDAP,0.0,0.0,0.0,208.0
MSSQL,0.07017543859649122,0.0970873786407767,0.0814663951120163,206.0
NetBIOS,0.5,0.004784688995215311,0.009478672985781991,209.0
Syn,0.0,0.0,0.0,182.0
TFTP,0.8571428571428571,0.029850746268656716,0.057692307692307696,201.0
UDP,0.0,0.0,0.0,207.0
UDP-lag,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.10476190476190476
macro avg,0.171364109469457,0.08680656764052914,0.08133858833118802,4200.0
weighted avg,0.20390932230923434,0.10476190476190476,0.09665853334758158,4200.0
