,precision,recall,f1-score,support
BENIGN,0.25748502994011974,0.6231884057971014,0.3644067796610169,207.0
Bot,0.0,0.0,0.0,201.0
Brute Force,0.30711610486891383,0.41414141414141414,0.35268817204301073,198.0
DDoS,0.2571428571428571,0.18274111675126903,0.21364985163204747,197.0
DoS,0.014792899408284023,0.024875621890547265,0.01855287569573284,201.0
DrDoS_DNS,0.05555555555555555,0.00966183574879227,0.01646090534979424,207.0
DrDoS_LDAP,0.0,0.0,0.0,185.0
DrDoS_MSSQL,0.0,0.0,0.0,202.0
DrDoS_NTP,0.8134328358208955,0.5422885572139303,0.6507462686567164,201.0
DrDoS_NetBIOS,0.14691943127962084,0.7451923076923077,0.2454473475851148,208.0
DrDoS_SNMP,0.24390243902439024,0.25906735751295334,0.25125628140703515,193.0
DrDoS_SSDP,0.0,0.0,0.0,193.0
DrDoS_UDP,0.0,0.0,0.0,200.0
Infiltration,0.11672278338945005,0.4928909952606635,0.18874773139745918,211.0
LDAP,0.18699186991869918,0.24731182795698925,0.21296296296296297,186.0
MSSQL,0.1,0.004629629629629629,0.008849557522123894,216.0
NetBIOS,0.12030075187969924,0.08421052631578947,0.09907120743034056,190.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.2702702702702703,0.04784688995215311,0.08130081300813008,209.0
TFTP,0.0,0.0,0.0,200.0
UDP,0.0,0.0,0.0,217.0
UDP-lag,0.0,0.0,0.0,178.0
accuracy,0.1773809523809524,0.1773809523809524,0.1773809523809524,0.1773809523809524
macro avg,0.13139240129539798,0.16718393117561547,0.12291548883415841,4200.0
weighted avg,0.13826760535271607,0.1773809523809524,0.12904745582109264,4200.0
