,precision,recall,f1-score,support
BENIGN,0.03995067817509248,0.8223350253807107,0.0761994355597366,197.0
Bot,0.03571428571428571,0.010810810810810811,0.016597510373443983,185.0
Brute Force,0.625,0.026595744680851064,0.05102040816326531,188.0
DDoS,0.0,0.0,0.0,209.0
DoS,0.07692307692307693,0.01020408163265306,0.018018018018018018,196.0
DrDoS_DNS,0.0,0.0,0.0,206.0
DrDoS_LDAP,0.0,0.0,0.0,213.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.0,0.0,0.0,199.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,225.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,207.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.14285714285714285,0.0055248618784530384,0.010638297872340425,181.0
LDAP,0.0,0.0,0.0,183.0
MSSQL,0.0,0.0,0.0,222.0
NetBIOS,0.0,0.0,0.0,201.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,195.0
TFTP,0.0,0.0,0.0,208.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,190.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.040952380952380955,0.040952380952380955,0.040952380952380955,0.040952380952380955
macro avg,0.03835188265289991,0.036477938515978275,0.007186402916116847,4200.0
weighted avg,0.04116940295040524,0.040952380952380955,0.007888268667970065,4200.0
