,precision,recall,f1-score,support
BENIGN,0.026426039316790204,0.45555555555555555,0.049954310082241854,180.0
Bot,0.0,0.0,0.0,182.0
Brute Force,0.004347826086956522,0.004329004329004329,0.004338394793926247,231.0
DDoS,0.0,0.0,0.0,194.0
DoS,0.011450381679389313,0.015228426395939087,0.013071895424836602,197.0
DrDoS_DNS,0.0,0.0,0.0,212.0
DrDoS_LDAP,0.0,0.0,0.0,205.0
DrDoS_MSSQL,0.0,0.0,0.0,171.0
DrDoS_NTP,0.0,0.0,0.0,187.0
DrDoS_NetBIOS,0.0,0.0,0.0,191.0
DrDoS_SNMP,0.0,0.0,0.0,215.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,211.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,208.0
LDAP,0.0,0.0,0.0,199.0
MSSQL,0.0,0.0,0.0,189.0
NetBIOS,0.0,0.0,0.0,206.0
Port Scan,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,187.0
TFTP,0.0,0.0,0.0,210.0
UDP,0.0,0.0,0.0,214.0
UDP-lag,0.0,0.0,0.0,208.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.020476190476190478,0.020476190476190478,0.020476190476190478,0.020476190476190478
macro avg,0.0015638610030791126,0.01759677726964811,0.0024949851963335075,4200.0
weighted avg,0.0019087524033211637,0.020476190476190478,0.0029926448597365016,4200.0
