,precision,recall,f1-score,support
BENIGN,0.9732620320855615,0.9238578680203046,0.9479166666666666,197.0
Bot,0.9943502824858758,1.0,0.9971671388101983,176.0
Brute Force,0.9107981220657277,0.9948717948717949,0.9509803921568627,195.0
DDoS,1.0,0.9897435897435898,0.9948453608247423,195.0
DoS,0.9890710382513661,0.9526315789473684,0.9705093833780161,190.0
DrDoS_DNS,0.978021978021978,0.9128205128205128,0.9442970822281167,195.0
DrDoS_LDAP,0.9094827586206896,0.9634703196347032,0.9356984478935698,219.0
DrDoS_MSSQL,0.9622641509433962,0.9577464788732394,0.96,213.0
DrDoS_NTP,0.9948453608247423,1.0,0.9974160206718347,193.0
DrDoS_NetBIOS,0.9611111111111111,0.9351351351351351,0.947945205479452,185.0
DrDoS_SNMP,0.9403669724770642,0.9808612440191388,0.9601873536299765,209.0
DrDoS_SSDP,1.0,0.98,0.98989898989899,200.0
DrDoS_UDP,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
Infiltration,0.9715639810426541,0.9669811320754716,0.9692671394799054,212.0
LDAP,0.9663461538461539,0.9852941176470589,0.9757281553398058,204.0
MSSQL,0.9489795918367347,0.96875,0.9587628865979382,192.0
NetBIOS,0.9948979591836735,0.9605911330049262,0.9774436090225563,203.0
Syn,0.9903846153846154,0.9951690821256038,0.9927710843373494,207.0
TFTP,0.9953703703703703,0.9953703703703703,0.9953703703703703,216.0
UDP,1.0,1.0,1.0,181.0
UDP-lag,0.9954128440366973,0.9908675799086758,0.9931350114416476,219.0
accuracy,0.9738095238095238,0.9738095238095238,0.9738095238095238,0.9738095238095238
macro avg,0.9748335331885843,0.9737684195985595,0.9740150082190409,4200.0
weighted avg,0.9744637279751887,0.9738095238095238,0.973851593222181,4200.0
