,precision,recall,f1-score,support
BENIGN,0.0614623807841752,0.8743718592964824,0.11485148514851486,199.0
Bot,0.0,0.0,0.0,197.0
Brute Force,0.0,0.0,0.0,208.0
DDoS,0.0,0.0,0.0,182.0
DoS,0.005383580080753701,0.021621621621621623,0.008620689655172414,185.0
DrDoS_DNS,0.0,0.0,0.0,209.0
DrDoS_LDAP,0.0,0.0,0.0,201.0
DrDoS_MSSQL,0.0,0.0,0.0,207.0
DrDoS_NTP,0.0,0.0,0.0,223.0
DrDoS_NetBIOS,0.0,0.0,0.0,205.0
DrDoS_SNMP,0.0,0.0,0.0,192.0
DrDoS_SSDP,0.0,0.0,0.0,204.0
DrDoS_UDP,0.0,0.0,0.0,192.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,214.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.0,0.0,0.0,175.0
NetBIOS,0.0,0.0,0.0,199.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,191.0
TFTP,0.0,0.0,0.0,202.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,212.0
accuracy,0.04238095238095238,0.04238095238095238,0.04238095238095238,0.04238095238095238
macro avg,0.002570998494804958,0.03446128772761939,0.004748929800141818,4200.0
weighted avg,0.0031492800216643573,0.04238095238095238,0.005821493602562227,4200.0
