,precision,recall,f1-score,support
BENIGN,0.08553654743390357,0.26066350710900477,0.1288056206088993,211.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.6666666666666666,0.10471204188481675,0.18099547511312217,191.0
DDoS,0.25252525252525254,0.4716981132075472,0.32894736842105265,212.0
DoS,0.007817589576547232,0.06315789473684211,0.01391304347826087,190.0
DrDoS_DNS,0.00546448087431694,0.005405405405405406,0.005434782608695652,185.0
DrDoS_LDAP,0.0,0.0,0.0,205.0
DrDoS_MSSQL,0.0,0.0,0.0,224.0
DrDoS_NTP,0.8793103448275862,0.8095238095238095,0.8429752066115702,189.0
DrDoS_NetBIOS,0.0,0.0,0.0,213.0
DrDoS_SNMP,0.0070921985815602835,0.004901960784313725,0.005797101449275362,204.0
DrDoS_SSDP,0.04184100418410042,0.047619047619047616,0.044543429844097995,210.0
DrDoS_UDP,0.0,0.0,0.0,182.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.11290322580645161,0.06278026905829596,0.08069164265129683,223.0
LDAP,0.015748031496062992,0.01990049751243781,0.017582417582417582,201.0
MSSQL,0.0,0.0,0.0,214.0
NetBIOS,0.0,0.0,0.0,186.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,192.0
TFTP,0.0,0.0,0.0,181.0
UDP,0.0,0.0,0.0,186.0
UDP-lag,0.0,0.0,0.0,205.0
accuracy,0.0880952380952381,0.0880952380952381,0.0880952380952381,0.0880952380952381
macro avg,0.08645438924885203,0.07709843945173002,0.06873692034869537,4200.0
weighted avg,0.09670928990614133,0.0880952380952381,0.07774314811943576,4200.0
